platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr,arrival_location
AWS,c4.large,2.9,24,2,4.0265249999999995,48060216864,lr,2024-01-22T00:00:00Z,4373.981,3711527.1035954906,96.28216996864784,8.52063271296111,aws_us-east-1
AWS,c4.2xlarge,2.9,6,8,16.106099999999998,48060216864,lr,2024-01-22T00:00:00Z,4041.769,15093920.3001443,98.00639249639252,9.10186002886003,aws_us-east-1
AWS,c4.xlarge,2.9,16,4,8.053049999999999,48060238592,lr,2024-01-21T02:00:00Z,3906.204,7140901.504037164,93.22917984736202,5.980986616524722,aws_us-east-1
AWS,c4.xlarge,2.9,12,4,8.053049999999999,48060216864,lr,2024-01-21T03:00:00Z,4039.369,7376917.32270115,96.31051867816092,8.637663074712645,aws_us-east-1
AWS,r4.large,2.3,6,2,16.374534999999998,6104217589,pagerank,2024-01-21T04:00:00Z,3953.812,3773347.605442177,24.09695918367347,68.10979455782314,aws_us-east-1
AWS,c4.large,2.9,12,2,4.0265249999999995,48060213264,lr,2024-01-21T04:00:00Z,4696.213,3749929.935893522,97.27837047438793,17.636683558214788,aws_us-east-1
AWS,r4.large,2.3,4,2,16.374534999999998,102653486885,wordcount,2024-01-21T05:00:00Z,4888.568,14536174.332008982,92.82946104681292,61.792950423216446,aws_us-east-1
AWS,c4.2xlarge,2.9,6,8,16.106099999999998,48060216864,lr,2024-01-21T07:00:00Z,4041.769,15093920.3001443,98.00639249639252,9.10186002886003,aws_us-east-1
AWS,c4.large,2.9,16,2,4.0265249999999995,48060214464,lr,2024-01-21T11:00:00Z,4445.735,3734888.740797916,96.8882112016981,13.048783347001784,aws_us-east-1
AWS,c4.large,2.9,4,2,4.0265249999999995,102653670064,wordcount,2024-01-21T12:00:00Z,4661.711,3662059.5294542825,94.9989591615468,60.750308998915784,aws_us-east-1
AWS,r4.large,2.3,4,2,16.374534999999998,6104163694,pagerank,2024-01-21T13:00:00Z,5487.277,4858143.754437869,31.024637573964498,69.15171301775148,aws_us-east-1
AWS,m4.large,2.4,4,2,8.58992,102653676867,wordcount,2024-01-21T13:00:00Z,4122.556,7930637.714285715,97.0036742289968,63.78597128677774,aws_us-east-1
AWS,c4.xlarge,2.9,16,4,8.053049999999999,48060238592,lr,2024-01-21T14:00:00Z,3906.204,7140901.504037164,93.22917984736202,5.980986616524722,aws_us-east-1
AWS,c4.xlarge,2.9,4,4,8.053049999999999,48060202400,lr,2024-01-21T14:00:00Z,6921.177,7505279.753472222,97.98638268849206,15.807695932539684,aws_us-east-1
AWS,m4.large,2.4,8,2,8.58992,48060202400,lr,2024-01-21T14:00:00Z,5415.409,7939781.344478499,97.11546670381722,22.062333054704183,aws_us-east-1
AWS,c4.large,2.9,4,2,4.0265249999999995,102653670064,wordcount,2024-01-21T15:00:00Z,4661.711,3662059.5294542825,94.9989591615468,60.750308998915784,aws_us-east-1
AWS,m4.large,2.4,6,2,8.58992,48060204216,lr,2024-01-21T15:00:00Z,7101.319,8003489.05758427,97.89475304307116,21.2586247659176,aws_us-east-1
AWS,m4.large,2.4,4,2,8.58992,24060201200,lr,2024-01-22T00:00:00Z,5123.189,8007998.263157895,97.949873294347,21.713808479532165,aws_us-east-1
AWS,c4.large,2.9,4,2,4.0265249999999995,102653670064,wordcount,2024-01-21T04:00:00Z,4661.711,3662059.5294542825,94.9989591615468,60.750308998915784,aws_us-east-1
AWS,c4.large,2.9,10,2,4.0265249999999995,48060203000,lr,2024-01-21T04:00:00Z,4658.108,3754662.213282518,97.4011687486767,20.632576752064363,aws_us-east-1
AWS,c4.xlarge,2.9,12,4,8.053049999999999,48060216864,lr,2024-01-21T05:00:00Z,4039.369,7376917.32270115,96.31051867816092,8.637663074712645,aws_us-east-1
AWS,c4.large,2.9,8,2,4.0265249999999995,48060202400,lr,2024-01-21T07:00:00Z,5310.193,3758675.1104779993,97.50526828110162,21.28139759417537,aws_us-east-1
AWS,c4.xlarge,2.9,10,4,8.053049999999999,48060206000,lr,2024-01-21T10:00:00Z,4427.794,7450329.07171648,97.26900905011787,10.095459730778009,aws_us-east-1
AWS,c4.large,2.9,24,2,4.0265249999999995,48060216864,lr,2024-01-21T11:00:00Z,4373.981,3711527.1035954906,96.28216996864784,8.52063271296111,aws_us-east-1
AWS,c4.xlarge,2.9,6,4,8.053049999999999,48060213264,lr,2024-01-21T12:00:00Z,5040.627,7487744.435897436,97.75742501209484,16.748598209966136,aws_us-east-1
AWS,c4.2xlarge,2.9,8,8,16.106099999999998,48060238592,lr,2024-01-21T13:00:00Z,3948.893,15036564.126275202,97.6339448951723,6.519945377138726,aws_us-east-1
AWS,c4.large,2.9,16,2,4.0265249999999995,48060214464,lr,2024-01-21T13:00:00Z,4445.735,3734888.740797916,96.8882112016981,13.048783347001784,aws_us-east-1
AWS,c4.large,2.9,40,2,4.0265249999999995,48060212000,lr,2024-01-21T14:00:00Z,3929.261,3472070.878080388,90.07035407478628,5.204333758334553,aws_us-east-1
AWS,m4.large,2.4,6,2,8.58992,6104217589,pagerank,2024-01-21T15:00:00Z,3985.015,3802651.4990491713,46.51212849769085,68.22254278728606,aws_us-east-1
AWS,c4.large,2.9,24,2,4.0265249999999995,48060216864,lr,2024-01-21T15:00:00Z,4373.981,3711527.1035954906,96.28216996864784,8.52063271296111,aws_us-east-1
AWS,c4.xlarge,2.9,4,4,8.053049999999999,48060202400,lr,2024-01-22T00:00:00Z,6921.177,7505279.753472222,97.98638268849206,15.807695932539684,aws_us-west-1
AWS,r4.large,2.3,6,2,16.374534999999998,48060204216,lr,2024-01-21T01:00:00Z,3936.386,14680349.679104475,93.75023009950247,28.64243936567164,aws_us-west-1
AWS,m4.large,2.4,6,2,8.58992,48060204216,lr,2024-01-21T01:00:00Z,7101.319,8003489.05758427,97.89475304307116,21.2586247659176,aws_us-west-1
AWS,c4.large,2.9,40,2,4.0265249999999995,48060212000,lr,2024-01-21T02:00:00Z,3929.261,3472070.878080388,90.07035407478628,5.204333758334553,aws_us-west-1
AWS,c4.xlarge,2.9,6,4,8.053049999999999,48060213264,lr,2024-01-21T02:00:00Z,5040.627,7487744.435897436,97.75742501209484,16.748598209966136,aws_us-west-1
AWS,r4.large,2.3,6,2,16.374534999999998,48060204216,lr,2024-01-21T03:00:00Z,3936.386,14680349.679104475,93.75023009950247,28.64243936567164,aws_us-west-1
