platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr
AWS,m3.large,2.6,1,2,7.516179999999999,-1,decision-tree,62.05893297700004,6492765.333333333,84.76666666666667,64.47916666666667
AWS,m3.large,2.6,1,2,7.516179999999999,3200000000,terasort,406.995,6442678.506024096,84.11361445783132,79.28867469879518
AWS,r3.large,2.5,1,2,16.106099999999998,-1,gradient-boosted-tree,42.8458626290012,3996849.5,25.51375,78.135
AWS,r4.2xlarge,2.3,1,8,65.49813999999999,13139621842,wordcount,112.151,28483167.826086957,45.296086956521734,58.24130434782609
AWS,c3.large,2.8,1,2,4.0265249999999995,-1,chi-sq-gof,21.83387091399345,2186338.0,56.715,69.3925
AWS,r4.2xlarge,2.3,1,8,65.49813999999999,1209030600,lr,92.536,11210327.789473685,17.828421052631576,35.89842105263158
AWS,c3.2xlarge,2.8,1,8,16.106099999999998,-1,gradient-boosted-tree,34.8129163880003,4278968.0,27.784285714285712,37.92857142857143
AWS,r4.xlarge,2.3,1,4,32.749069999999996,3777029616,join,382.315,8245188.820512821,26.258589743589745,77.68589743589743
AWS,c3.large,2.8,1,2,4.0265249999999995,-1,pic,100.44242051799938,3361251.294117647,87.19588235294117,51.79882352941177
AWS,r3.large,2.5,1,2,16.106099999999998,-1,pca,313.43464849999873,5843227.612903226,37.298225806451626,54.278225806451616
AWS,m4.large,2.4,1,2,8.58992,-1,naive-bayes,740.6763593640062,6572999.189189189,80.39810810810809,52.4529054054054
AWS,c4.xlarge,2.9,1,4,8.053049999999999,-1,pca,52.87414415399962,4177432.4,54.540000000000006,47.065999999999995
AWS,m4.large,2.4,1,2,8.58992,-1,word2vec,221.8873272890014,6350096.7272727275,77.67159090909091,95.55181818181818
AWS,m3.2xlarge,2.6,1,8,32.212199999999996,3200000000,terasort,131.536,10146850.814814815,32.854814814814816,64.20481481481481
AWS,r3.2xlarge,2.5,1,8,65.49813999999999,-1,word2vec,84.19931772100244,15095554.0,23.993125,75.296875
AWS,m4.large,2.4,1,2,8.58992,806020600,lr,235.616,6363342.521739131,77.83391304347825,50.68543478260871
AWS,c3.xlarge,2.8,1,4,7.516179999999999,3284922483,wordcount,231.567,6483456.425531914,84.64553191489361,16.16404255319149
AWS,m4.2xlarge,2.4,1,8,34.35968,-1,random-forest,58.399229545000026,11162838.181818182,33.88090909090909,40.81727272727273
AWS,c3.2xlarge,2.8,1,8,16.106099999999998,128134600,als,222.773,10634758.536585366,69.05341463414635,22.592195121951217
AWS,c4.2xlarge,2.9,1,8,16.106099999999998,-1,svd,628.3727764030045,7838912.256,50.89944000000001,46.23376
AWS,m4.2xlarge,2.4,1,8,34.35968,-1,block-matrix-mult,62.21082050699988,7389884.0,22.429166666666664,25.684166666666673
AWS,r4.2xlarge,2.3,1,8,65.49813999999999,-1,naive-bayes,821.0107095499998,57221590.951219514,90.99804878048782,50.22371951219512
AWS,c4.2xlarge,2.9,1,8,16.106099999999998,-1,kmeans,86.21181550799884,9852902.11764706,63.97529411764707,45.00235294117647
AWS,c3.xlarge,2.8,1,4,7.516179999999999,13139662554,sort,824.636,6956900.843373494,90.82674698795182,48.56873493975903
AWS,c4.xlarge,2.9,1,4,8.053049999999999,-1,chi-sq-feature,170.6038186149999,6815895.647058823,88.98647058823528,47.34117647058823
AWS,m3.2xlarge,2.6,1,8,32.212199999999996,-1,gradient-boosted-tree,43.05433187400013,9001829.5,29.1475,33.822500000000005
AWS,m4.large,2.4,1,2,8.58992,-1,summary-statistics,23.760267545000033,3055990.0,37.379999999999995,70.46000000000001
AWS,m4.2xlarge,2.4,1,8,34.35968,-1,regression,148.739240999,26285798.620689657,79.77931034482758,50.57310344827585
AWS,c3.2xlarge,2.8,1,8,16.106099999999998,4019032802,scan,131.398,10795048.0,70.09392857142858,76.6317857142857
AWS,m3.large,2.6,1,2,7.516179999999999,-1,gmm,934.6597638340028,4426266.524064171,57.78844919786096,52.45652406417112
AWS,m4.xlarge,2.4,1,4,17.17984,-1,naive-bayes,412.6500313659999,13380074.68292683,81.4230487804878,50.551463414634135
AWS,r4.xlarge,2.3,1,4,32.749069999999996,-1,chi-sq-feature,344.20379679100006,21275072.352941178,67.75470588235292,51.082352941176474
AWS,m3.xlarge,2.6,1,4,16.106099999999998,-1,gradient-boosted-tree,89.85748788000012,7185405.333333333,46.65444444444445,47.80666666666667
AWS,m3.xlarge,2.6,1,4,16.106099999999998,-1,lda,113.88457201299752,7632093.272727272,49.55545454545456,73.85954545454545
AWS,c3.xlarge,2.8,1,4,7.516179999999999,-1,fp-growth,38.69390041299994,3781782.8571428577,49.37428571428571,56.628571428571426
AWS,c3.large,2.8,1,2,4.0265249999999995,-1,block-matrix-mult,114.88780204099749,3384628.1739130435,87.80217391304348,50.02869565217392
AWS,c3.xlarge,2.8,1,4,7.516179999999999,-1,decision-tree,61.98639926600299,5343449.0,69.7625,55.13166666666667
AWS,m3.xlarge,2.6,1,4,16.106099999999998,-1,word2vec,130.26538519599853,6984643.384615385,45.35038461538462,88.91999999999999
AWS,m3.xlarge,2.6,1,4,16.106099999999998,-1,gradient-boosted-tree,36.77386755500265,4459745.714285715,28.955714285714286,54.42857142857143
AWS,m4.2xlarge,2.4,1,8,34.35968,3777029616,join,292.361,15788956.07142857,47.92053571428572,15.88642857142857
AWS,m3.2xlarge,2.6,1,8,32.212199999999996,-1,als,73.96714607800004,10208873.714285716,33.05571428571428,53.39999999999999
AWS,r4.large,2.3,1,2,16.374534999999998,743933336,aggregation,222.356,11128111.652173912,71.065,88.02
AWS,r4.large,2.3,1,2,16.374534999999998,87,scan,28.943,4492244.5,28.6875,58.19874999999999
AWS,m3.xlarge,2.6,1,4,16.106099999999998,-1,kmeans,88.21146206399999,10812550.588235294,70.20647058823529,52.05235294117647
AWS,m3.large,2.6,1,2,7.516179999999999,-1,chi-sq-feature,313.4111444509999,6775746.387096774,88.46306451612902,52.578064516129025
AWS,m4.xlarge,2.4,1,4,17.17984,9600000000,terasort,598.986,13055203.074380163,79.44429752066115,68.59834710743803
AWS,r3.xlarge,2.5,1,4,32.749069999999996,6400000000,terasort,412.859,16056940.530120485,51.11,74.10855421686747
AWS,r3.2xlarge,2.5,1,8,65.49813999999999,3200000000,terasort,111.336,11247021.739130436,17.87608695652174,74.54260869565218
AWS,r3.large,2.5,1,2,16.106099999999998,9600000000,terasort,698.612,15025749.929078016,95.911914893617,67.68524822695035
AWS,m4.large,2.4,1,2,8.58992,-1,kmeans,1819.477576591,7922169.906336088,96.90002754820937,51.51911845730028
AWS,c4.xlarge,2.9,1,4,8.053049999999999,-1,gmm,77.75342969700068,4109166.133333334,53.64866666666667,52.07733333333333
AWS,c4.xlarge,2.9,1,4,8.053049999999999,-1,naive-bayes,356.2510901200003,7091701.859154929,92.587323943662,50.93830985915493
AWS,c3.large,2.8,1,2,4.0265249999999995,-1,svd,1095.8286920870014,3446903.2511415523,89.41776255707762,52.12963470319635
AWS,c3.xlarge,2.8,1,4,7.516179999999999,4019032802,scan,229.596,6933147.25,90.51729166666668,83.95083333333332
AWS,c4.2xlarge,2.9,1,8,16.106099999999998,6400000000,terasort,233.392,12846515.083333334,83.41333333333334,39.49625
AWS,r4.2xlarge,2.3,1,8,65.49813999999999,1209030600,lr,288.064,12055518.148148147,19.17148148148148,13.2412962962963
AWS,c4.xlarge,2.9,1,4,8.053049999999999,-1,spearman,153.39120812899637,6164276.266666667,80.47833333333332,45.68066666666666
AWS,r4.large,2.3,1,2,16.374534999999998,3284907119,sort,143.193,11354727.466666669,72.51299999999999,54.327666666666666
AWS,c3.2xlarge,2.8,1,8,16.106099999999998,-1,word2vec,118.08370647299988,8371967.826086956,54.36043478260869,83.3113043478261
AWS,m3.xlarge,2.6,1,4,16.106099999999998,3284890879,sort,1328.086,10198719.007518796,66.22161654135338,8.884360902255638
AWS,c4.xlarge,2.9,1,4,8.053049999999999,87,scan,21.357,2463372.0,32.16,27.761666666666667
AWS,r3.xlarge,2.5,1,4,32.749069999999996,9600000000,terasort,603.632,22141244.360655736,70.47713114754097,73.06975409836066
AWS,m4.xlarge,2.4,1,4,17.17984,4019032802,scan,158.353,12422759.87878788,75.59606060606062,68.6739393939394
AWS,r4.2xlarge,2.3,1,8,65.49813999999999,-1,naive-bayes,805.5380881300007,56058146.111801244,89.14813664596274,50.37826086956522
AWS,c3.2xlarge,2.8,1,8,16.106099999999998,3820993928,join,95.162,10576285.89473684,68.67210526315789,57.75421052631579
AWS,c3.xlarge,2.8,1,4,7.516179999999999,200168800,als,151.786,6606952.0,86.25870967741936,82.56903225806451
AWS,m4.2xlarge,2.4,1,8,34.35968,3777029616,join,222.88,8680711.652173912,26.346956521739127,66.4513043478261
AWS,m4.large,2.4,1,2,8.58992,1881786739,bayes,821.461,7715654.4,94.37412121212124,94.4838787878788
AWS,m4.xlarge,2.4,1,4,17.17984,3777029616,join,246.136,10504957.714285716,63.92530612244898,35.76734693877551
AWS,c3.xlarge,2.8,1,4,7.516179999999999,-1,gmm,657.2143683090003,6322366.198473282,82.54183206106872,47.84488549618321
AWS,r4.xlarge,2.3,1,4,32.749069999999996,-1,word2vec,128.64719324799808,10023816.0,31.9228,88.4
AWS,m4.xlarge,2.4,1,4,17.17984,-1,als,111.00556934899942,7364096.363636363,44.81227272727273,44.03772727272727
AWS,r3.large,2.5,1,2,16.106099999999998,6569854679,wordcount,154.372,12525226.5,79.95093750000001,88.90468750000001
AWS,m4.xlarge,2.4,1,4,17.17984,-1,chi-sq-gof,19.129777295005624,3507032.0,21.34,47.25
AWS,r4.2xlarge,2.3,1,8,65.49813999999999,-1,svd,618.3780654259972,21892458.37398374,34.81520325203251,48.43170731707317
AWS,c3.2xlarge,2.8,1,8,16.106099999999998,-1,random-forest,58.296084534000045,6306523.636363637,40.949090909090906,40.41
AWS,c4.2xlarge,2.9,1,8,16.106099999999998,-1,fp-growth,64.09794518099989,3440812.6666666665,22.34166666666667,20.535833333333333
AWS,r4.2xlarge,2.3,1,8,65.49813999999999,-1,regression,110.56788462500026,29710528.0,47.24863636363636,45.87545454545454
AWS,m3.xlarge,2.6,1,4,16.106099999999998,-1,chi-sq-feature,199.78786032400055,11512515.9,74.75175,50.803
AWS,m3.xlarge,2.6,1,4,16.106099999999998,-1,regression,1273.339171189,13930617.842519686,90.45385826771653,51.659881889763774
AWS,r4.2xlarge,2.3,1,8,65.49813999999999,-1,gmm,63.42531656,12929099.666666666,20.561666666666667,41.108333333333334
AWS,c4.large,2.9,1,2,4.0265249999999995,3799320693,join,185.239,3477487.7837837837,90.21027027027026,78.54891891891893
AWS,m4.xlarge,2.4,1,4,17.17984,3799320693,join,122.698,13150369.666666666,80.02333333333333,74.12083333333334
AWS,c3.xlarge,2.8,1,4,7.516179999999999,-1,fp-growth,46.61903136100045,4239640.0,55.352222222222224,57.49222222222222
AWS,c4.large,2.9,1,2,4.0265249999999995,-1,pca,89.74746833300014,3151425.3333333335,81.75111111111111,50.34444444444445
AWS,c3.2xlarge,2.8,1,8,16.106099999999998,-1,kmeans,43.69452313800139,5394062.5,35.0225,36.791250000000005
AWS,r3.xlarge,2.5,1,4,32.749069999999996,-1,lda,83.24245210200024,8910542.0,28.362499999999997,68.41312500000001
AWS,m3.2xlarge,2.6,1,8,32.212199999999996,-1,chi-sq-feature,209.049542526,19447593.756097563,62.97,46.36195121951219
AWS,r3.large,2.5,1,2,16.106099999999998,-1,svd,607.5935905339993,8357655.636363637,53.34900826446281,50.22297520661157
AWS,m4.large,2.4,1,2,8.58992,-1,pca,100.64840426000592,4128853.8,50.50249999999999,58.395500000000006
AWS,m3.2xlarge,2.6,1,8,32.212199999999996,-1,kmeans,63.02415001700001,12276779.0,39.75083333333333,41.284166666666664
AWS,m3.xlarge,2.6,1,4,16.106099999999998,-1,spearman,79.0278520740003,8141066.933333334,52.86133333333333,48.09466666666667
AWS,r4.xlarge,2.3,1,4,32.749069999999996,-1,svd,297.57302759399954,13354103.3220339,42.52915254237288,50.84576271186441
AWS,m4.large,2.4,1,2,8.58992,-1,naive-bayes,1477.3316097559998,6090575.579661017,74.49722033898306,51.8106779661017
