platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_usr
AWS,m4.large,2.4,8,2,8.59,24060202400,lr,2018-01-05 05:25:07,1291.624,7679720.871153846,93.93458173076922,26.57572596153846
AWS,r4.large,2.3,6,2,16.37,24060204216,lr,2018-01-06 03:43:09,1402.764,12927312.113475177,82.5551182033097,35.45058510638298
AWS,r4.2xlarge,2.3,6,8,65.5,6104100736,pagerank,2018-01-06 04:53:10,397.262,25524908.860215053,40.59184139784946,66.8269623655914
AWS,r4.xlarge,2.3,6,4,32.75,2993420596,pagerank,2018-01-06 01:12:03,1163.937,3542479.98005698,11.281773504273504,71.63886752136752
AWS,r4.xlarge,2.3,8,4,32.75,48060214464,lr,2018-01-05 08:08:08,2171.949,18748383.91816817,59.70834459459459,13.639331831831832
AWS,c4.xlarge,2.9,4,4,8.05,51326800591,wordcount,2018-01-05 07:16:31,962.304,7411367.46803069,96.76024296675193,66.8343989769821
AWS,c4.xlarge,2.9,10,4,8.05,6103958074,pagerank,2018-01-06 08:15:51,1260.057,3221507.347783251,42.05892610837438,68.7157315270936
AWS,r4.xlarge,2.3,6,4,32.75,48060213264,lr,2018-01-06 07:37:25,2215.299,23652369.012683917,75.32627600202945,19.66288939624556
AWS,c4.large,2.9,8,2,4.03,2993473154,pagerank,2018-01-04 08:01:46,1459.030,2487858.0750853242,64.53857935153583,68.60845563139931
AWS,r4.2xlarge,2.3,10,8,65.5,24060212000,lr,2018-01-06 04:14:10,2144.617,16633283.498604652,26.451655813953487,3.0962767441860466
AWS,c4.2xlarge,2.9,4,8,16.11,6104074583,pagerank,2018-01-05 15:56:00,1371.891,6522306.042553191,42.350016797312435,72.51098544232923
AWS,r4.xlarge,2.3,10,4,32.75,6103958074,pagerank,2018-01-06 09:24:56,465.759,13767142.878911564,43.84448299319728,68.81642176870749
AWS,c4.xlarge,2.9,6,4,8.05,2993420596,pagerank,2018-01-06 02:13:35,592.763,6836539.910364145,89.25549019607843,84.3970588235294
AWS,m4.large,2.4,6,2,8.59,51326756925,wordcount,2018-01-05 23:19:12,1827.741,7786610.856624319,95.24193284936479,58.12444646098004
AWS,c4.xlarge,2.9,10,4,8.05,48060206000,lr,2018-01-06 09:33:40,4427.794,7450329.07171648,97.26900905011789,10.095459730778007
AWS,m4.xlarge,2.4,6,4,17.18,24060213264,lr,2018-01-06 01:33:29,1144.395,14840945.915942028,90.31089855072464,18.666224637681157
AWS,r4.large,2.3,8,2,16.37,2993473154,pagerank,2018-01-05 06:12:16,531.981,8080480.25,51.602916666666665,75.17134259259261
AWS,r4.large,2.3,4,2,16.37,51326782436,wordcount,2018-01-05 07:50:03,2327.767,13197514.281433921,84.2806153023007,62.99007490636704
AWS,r4.2xlarge,2.3,4,8,65.5,93799252261,join,2018-01-05 07:59:50,357.341,39867182.84507042,63.40073943661971,65.37820422535212
